c_number,name,formula,exact_mass,mol_weight,pathway,reaction,enzyme,description
C15197,17beta-Pyrazol-3-ylandrost-5-en-3beta-ol,C22H32N2O,340.2515,340.50,,,,
C15198,"3-Ethyl-5alpha-androstane-3alpha,17beta-diol",C21H36O2,320.2715,320.51,,,,
C15199,"3-Ethynyl-5alpha-androstane-3beta,17beta-diol",C21H32O2,316.2402,316.48,,,,
C15200,"9beta,11beta-Epoxyandrost-4-ene-3,17-dione",C19H24O3,300.1725,300.39,,,,
C15201,"5beta-Estrane-3alpha,17beta-diol;",C18H30O2,278.2246,278.43,,,,
C15202,2'-Chloro-4-biphenylol,C12H9ClO,204.0342,204.65,,,,
C15203,6-Hydroxy-2'-methoxyflavone;,C16H12O4,268.0736,268.26,,,,
C15204,3'-Hydroxyflavanone,C15H12O3,240.0786,240.25,,R07369 R07370,1.14.14.81,
C15205,Diisobutyl phthalate;,C16H22O4,278.1518,278.34,,,,
C15206,"3,3-Bis(4-hydroxyphenyl)pentane;",C17H20O2,256.1463,256.34,,,,
C15207,17beta-Estradiol-3-(beta-D-glucuronide) 17-sulfate;,C24H32O11S,528.1665,528.57,,,,
C15208,Bisphenol A bis(2-hydroxypropyl) ether;,C21H28O4,344.1988,344.44,,,,
C15209,Bisphenol A ethoxylate diacrylate,C25H28O6,424.1886,424.48,,,,
C15210,"1,1-Bis(4-hydroxyphenyl)propane",C15H16O2,228.1150,228.29,,,,
C15211,"4,4-Bis(4-hydroxyphenyl)heptane",C19H24O2,284.1776,284.39,,,,
C15212,"2,2',5-Trichloro-4-hydroxybiphenyl",C12H7Cl3O,271.9562,273.54,,,,
C15213,"2,2',3',4,4',5,5'-Heptachloro-3-biphenylol",C12H3Cl7O,407.8004,411.31,,,,
C15214,alpha-Hexachlorocyclohexane;,C6H6Cl6,287.8601,290.82,,,,
C15215,"3-Hydroxyestra-1,3,5(10)-trien-16-one",C18H22O2,270.1620,270.37,,,,
C15216,3-Methoxyestriol;,C19H26O3,302.1882,302.41,,,,
C15217,4-[1-Ethyl-2-(4-methylphenyl)butyl]phenol;,C19H24O,268.1827,268.39,,,,
C15218,"2,2',4,4'-Tetrahydroxybenzil;",C14H10O6,274.0477,274.22,,,,
C15219,"2,6-Dimethylhexestrol;",C20H26O2,298.1933,298.42,,,,
C15220,2-Chloro-4-methylphenol;,C7H7ClO,142.0185,142.58,,,,
C15221,Diisononyl phthalate,C26H42O4,418.3083,418.61,,,,
C15222,"3,6,4'-Trihydroxyflavone;",C15H10O5,270.0528,270.24,,,,
C15224,Tributyltin chloride;,C12H27ClSn,326.0823,325.50,,,,
C15225,Manzeb;,,,,,,,
C15226,Thallium chloride;,TlCl,239.9433,239.84,,,,
C15227,Potassium dichromate,K2Cr2O7,293.7728,294.18,,,,
C15228,beta-Estradiol 17-acetate;,C20H26O3,314.1882,314.42,,,,
C15229,Ziram,(C3H6NS2)2. Zn,303.9175,305.82,,,,
C15230,Iprobenfos;,C13H21O3PS,288.0949,288.34,,,,
C15231,Maneb,(C4H6MnN2S4)n,,,map05012  Parkinson disease,,,
C15232,Zineb,C4H6N2S4. Zn,273.8705,275.75,,,,
C15233,Cadmium chloride,CdCl2,183.8411,183.32,,,,
C15234,Lead nitrate,Pb(NO3)2,331.9523,331.21,,,,
C15235,Antimony trichloride;,SbCl3,225.8104,228.11,,,,
C15236,"8-Hydroxy-2,3,4-trichlorodibenzofuran",C12H5Cl3O2,285.9355,287.52,,,,
C15237,8-Hydroxy-2-chlorodibenzofuran;,C12H7ClO2,218.0135,218.63,,,,
C15238,"8-Hydroxy-3,4,6-trichlorodibenzofuran;",C12H5Cl3O2,285.9355,287.52,,,,
C15239,"8-Hydroxy-3,4-dichlorodibenzofuran;",C12H6Cl2O2,251.9745,253.08,,,,
C15240,"6-Hydroxy-3,4-dichlorodibenzofuran;",C12H6Cl2O2,251.9745,253.08,,,,
C15241,8-Hydroxy-3-chlorodibenzofuran;,C12H7ClO2,218.0135,218.63,,,,
C15242,"8-Chloro-2,7-dibenzofurandiol;",C12H7ClO3,234.0084,234.63,,,,
C15243,"3-Hydroxy-2,8-dichlorodibenzofuran;",C12H6Cl2O2,251.9745,253.08,,,,
C15244,"7-Hydroxy-1,2,3,6,8-pentachlorodibenzofuran;",C12H3Cl5O2,353.8576,356.41,,,,
C15245,"7-Hydroxy-3,4-dichlorodibenzofuran;",C12H6Cl2O2,251.9745,253.08,,,,
C15246,"9-Hydroxy-3,4-dichlorodibenzofuran;",C12H6Cl2O2,251.9745,253.08,,,,
C15247,"9-Hydroxy-2,6-dichlorodibenzofuran;",C12H6Cl2O2,251.9745,253.08,,,,
C15248,"4-Hydroxy-2',3,5,5'-tetrachlorobiphenyl;",C12H6Cl4O,305.9173,307.98,,,,
C15249,"2-(3,5-Dichlorophenylcarbamoyl)-1,2-dimethylcyclopropane-1-carboxylic acid",C13H13Cl2NO3,301.0272,302.15,,,,
C15250,"3-(3,4-Dichlorophenyl)-1-hydroxy-1-methylurea;",C8H8Cl2N2O2,233.9963,235.06,,,,
C15251,3-Aza-A-homocholest-4a-en-4-one,C27H45NO,399.3501,399.65,,,,
C15252,17beta-Hydroxy-4alpha-methyl-5alpha-androstan-3-one;,C20H32O2,304.2402,304.47,,,,
C15253,16beta-Fluoro-17beta-hydroxyandrost-4-en-3-one propionate;,C22H31FO3,362.2257,362.48,,,,
C15254,"3-(Allyloxy)estra-1,3,5(10)-triene-16alpha,17beta-diol;",C21H28O3,328.2038,328.44,,,,
C15255,"1-Methylestra-1,3,5(10),6-tetraene-3,17beta-diol",C19H24O2,284.1776,284.39,,,,
C15256,6alpha-Fluoro-17-hydroxycorticosterone 21-acetate;,C23H31FO6,422.2105,422.49,,,,
C15257,17beta-Hydroxyestr-5(10)-en-3-one;,C18H26O2,274.1933,274.40,,,,
C15258,17beta-Hydroxy-2alpha-methylestr-4-en-3-one;,C19H28O2,288.2089,288.42,,,,
C15259,"17beta-Hydroxy-2alpha,17-dimethylestr-4-en-3-one;",C20H30O2,302.2246,302.45,,,,
C15260,"5beta-Pregn-11-ene-3,20-dione",C21H30O2,314.2246,314.46,,,,
C15261,"Estra-1,3,5(10)-triene-3,16beta-diol;",C18H24O2,272.1776,272.38,,,,
C15262,"3-Methoxyestra-1,3,5(10)-trien-16beta-ol;",C20H28O,284.2140,284.43,,,,
C15263,"A-Norpregn-3(5)-ene-2,20-dione;",C20H28O2,300.2089,300.43,,,,
C15264,17beta-Hydroxy-5alpha-androstane acetate;,C21H34O2,318.2559,318.49,,,,
C15265,"16beta-Methylpregn-4-ene-3,20-dione;",C22H32O2,328.2402,328.49,,,,
C15266,17abeta-Hydroxy-D-homoandrost-4-en-3-one propionate;,C23H34O3,358.2508,358.51,,,,
C15267,"(17Z)-3,11-Dioxopregna-4,17(20)-dien-21-oic acid methyl ester",C22H28O4,356.1988,356.45,,,,
C15268,trans-2-(4-Nitrophenyl)-3-phenyloxirane;,C14H11NO3,241.0739,241.24,,,,
C15269,"9-Fluoro-11beta,17,21-trihydroxy-2alpha-methylpregn-4-ene-3,20-dione 21-acetate;",C24H33FO6,436.2261,436.51,,,,
C15270,Cycloguanil hydrochloride;,C11H14ClN5. HCl,287.0705,288.17,,,,
C15271,"9-Fluoro-2alpha-methylpregn-4-ene-3,11,20-trione;",C22H29FO3,360.2101,360.46,,,,
C15272,"3alpha,12alpha-Dihydroxy-5beta-pregnan-20-one diacetate",C25H38O5,418.2719,418.57,,,,
C15273,17beta-Hydroxy-5alpha-androst-1-en-3-one propionate,C22H32O3,344.2351,344.49,,,,
C15274,Allobetulin;,C30H50O2,442.3811,442.72,,,,
C15275,"21-Acetoxy-11beta,17-dihydroxy-6alpha-methylpregn-4-ene-3,20-dione;",C24H34O6,418.2355,418.52,,,,
C15276,2alpha-Fluoro-17beta-hydroxyandrost-4-en-3-one;,C19H27FO2,306.1995,306.41,,,,
C15277,"3-Hydroxy-19-norpregna-1,3,5(10)-trien-20-one",C20H26O2,298.1933,298.42,,,,
C15278,"4,4'-(2-Methylpropylidene)bisphenol;",C16H18O2,242.1307,242.31,,,,
C15279,2-Amino-6-(benzylthio)purine;,C12H11N5S,257.0735,257.32,,,,
C15280,"16alpha,17-Isopropylidenedioxy-6alpha-methylprogesterone;",C25H36O4,400.2614,400.55,,,,
C15281,17beta-Nitro-5alpha-androstane,C19H31NO2,305.2355,305.45,,,,
C15282,17beta-Hydroxyestr-5(10)-en-3-one acetate;,C20H28O3,316.2038,316.43,,,,
C15283,17beta-Hydroxy-5alpha-androstan-3-one cyclohexanecarboxylate,C26H40O3,400.2977,400.59,,,,
C15284,"6beta,17beta-Dihydroxyandrost-4-en-3-one diacetate;",C23H32O5,388.2250,388.50,,,,
C15285,"17alpha-Methyl-5alpha-androstane-3beta,11beta,17beta-triol;",C20H34O3,322.2508,322.48,,,,
C15286,"4beta,5-Epoxy-17beta-hydroxy-5beta-androstan-3-one;",C19H28O3,304.2038,304.42,,,,
C15287,"11beta,17beta-Dihydroxy-17alpha-methylandrosta-1,4-dien-3-one",C20H28O3,316.2038,316.43,,,,
C15288,"5alpha-Androstane-11beta,17beta-diol",C19H32O2,292.2402,292.46,,,,
C15289,"16alpha,17beta-Dihydroxyandrost-4-en-3-one dipropionate",C25H36O5,416.2563,416.55,,,,
C15290,"2alpha,17beta-Dihydroxyandrost-4-en-3-one dipropionate;",C25H36O5,416.2563,416.55,,,,
C15291,6alpha-Hydroxycortisol;,C21H30O6,378.2042,378.46,,,,
C15292,A-Nor-5alpha-cholestan-2-one,C26H44O,372.3392,372.63,,,,
C15293,"17beta-Hydroxyandrosta-4,9(11)-dien-3-one;",C19H26O2,286.1933,286.41,,,,
C15294,"N-Methylindolo[3,2-b]-5alpha-cholest-2-ene;",C34H51N,473.4022,473.77,,,,
C15295,"17beta-Hydroxy-3-methoxyestra-1,3,5(10)-trien-16-one;",C19H24O3,300.1725,300.39,,,,
C15296,"4,4'-Dinitrostilbene",C14H10N2O4,270.0641,270.24,,,,
C15297,"2,4-Dinitro-1-(3-nitrophenoxy)benzene;",C12H7N3O7,305.0284,305.20,,,,
C15298,5alpha-Androstan-2-en-17beta-ol;,C19H30O,274.2297,274.44,,,,
C15299,"7alpha-Methyl-4-pregnene-3,20-dione;",C22H32O2,328.2402,328.49,,,,
C15300,"Spiro[benzofuran-2(3H),1'-[2]cyclohexene]-7-chloro-4,6-dimethoxy-6'-methyl-2'-(methylthio)-3,4'-dione",C17H17ClO5S,368.0485,368.83,,,,
C15301,"2alpha-Methylpregn-4-ene-3,11,20-trione;",C22H30O3,342.2195,342.47,,,,
C15302,"11beta,17,21-Trihydroxy-2alpha-methylpregn-4-ene-3,20-dione 21-acetate;",C24H34O6,418.2355,418.52,,,,
C15303,"(Z)-11beta,21-Dihydroxypregna-1,4,17(20)-trien-3-one",C21H28O3,328.2038,328.44,,,,
C15304,"3beta,19-Dihydroxyandrost-5-en-17-one 3-acetate;",C21H30O4,346.2144,346.46,,,,
C15305,"9-Chloro-11beta,17,21-trihydroxypregn-4-ene-3,20-dione 21-acetate;",C23H31ClO6,438.1809,438.94,,,,
C15306,"11alpha,17beta-Dihydroxyandrost-4-en-3-one;",C19H28O3,304.2038,304.42,,,,
C15307,"17beta-Hydroxy-7alpha-methylandrost-1,4-diene-3-one;",C20H28O2,300.2089,300.43,,,,
C15308,"3-Hydroxy-1-methylestra-1,3,5(10),6-tetraen-17-one;",C19H22O2,282.1620,282.38,,,,
C15309,"17,21-Epoxy-9-fluoro-11beta-hydroxypregn-4-ene-3,20-dione;",C21H27FO4,362.1893,362.43,,,,
C15310,"6alpha-Fluoro-17-hydroxypregn-4-ene-3,20-dione acetate",C23H31FO4,390.2206,390.49,,,,
C15311,"N,N-Bis(2-chloroethyl)-DL-alanine hydrochloride",C7H13Cl2NO2. HCl,249.0090,250.55,,,,
C15312,"9alpha-Fluoro-11beta-hydroxy-4-pregnene-3,20-dione;",C21H29FO3,348.2101,348.45,,,,
C15313,"3,17beta-Diacetoxyestra-1,3,5(10)-trien-6-one;",C22H26O5,370.1780,370.44,,,,
C15314,"11beta,17beta-Dihydroxyandrost-4-en-3-one 17-propionate;",C22H32O4,360.2301,360.49,,,,
C15315,"1-Methylestra-1,3,5(10)-triene-3,17beta-diol;",C19H26O2,286.1933,286.41,,,,
C15316,5alpha-Androstane-2alpha-methyl-17beta-ol,C20H34O,290.2610,290.48,,,,
C15317,"9-Fluoro-11beta-hydroxy-16alpha-methylpregn-4-ene-3,20-dione",C22H31FO3,362.2257,362.48,,,,
C15318,17abeta-Hydroxy-D-homoandrost-4-en-3-one;,C20H30O2,302.2246,302.45,,,,
C15319,"9alpha-Fluoro-11beta,17alpha,21-trihydroxy-6alpha-methylpregna-1,4-diene-3,20-dione;",C22H29FO5,392.1999,392.46,,,,
C15320,"21-Fluoro-11beta,17-dihydroxy-6alpha-methylpregn-4-ene-3,20-dione;",C22H31FO4,378.2206,378.48,,,,
C15321,6alpha-Fluoro-17beta-hydroxyandrost-4-en-3-one propionate;,C22H31FO3,362.2257,362.48,,,,
C15322,"2alpha,3alpha-(Difluoromethylene)-5alpha-androstan-17beta-ol acetate",C22H32F2O2,366.2370,366.48,,,,
C15323,"3-Hydroxy-1-methylestra-1,3,5(10)-trien-17-one;",C19H24O2,284.1776,284.39,,,,
C15324,"Androst-4-ene-3beta,17beta-diol diacetate;",C23H34O4,374.2457,374.51,,,,
C15325,6-Azaequilenin;,C17H17NO2,267.1259,267.32,,,,
C15326,17beta-Hydroxy-2alpha-methyl-5alpha-estran-3-one,C19H30O2,290.2246,290.44,,,,
C15327,"6alpha-Fluoropregn-4-ene-3,11,20-trione;",C21H27FO3,346.1944,346.43,,,,
C15328,"N,N-Diethyl-2-[4-[6-methoxy-2-(4-methoxyphenyl)-1H-inden-3-yl]phenoxy]ethanamine hydrochloride",C29H33NO3. HCl,479.2227,480.04,,,,
C15329,"21-Fluoro-11beta,17-dihydroxy-6alpha-methylpregna-1,4-diene-3,20-dione",C22H29FO4,376.2050,376.46,,,,
C15330,3beta-Fluoro-5alpha-androstan-17beta-ol,C19H31FO,294.2359,294.45,,,,
C15331,17beta-Hydroxy-6beta-methyl-5alpha-androstan-3-one propionate;,C23H36O3,360.2664,360.53,,,,
C15332,"3beta-Hydroxy-5alpha-androstane-7,17-dione",C19H28O3,304.2038,304.42,,,,
C15333,"3alpha-Hydroxy-5beta-pregn-16-ene-11,20-dione 3-acetate",C23H32O4,372.2301,372.50,,,,
C15334,"17beta-Hydroxy-4,4-dimethylandrost-5-en-3-one",C21H32O2,316.2402,316.48,,,,
C15335,3beta-Hydroxy-5-androsten-16-one;,C19H28O2,288.2089,288.42,,,,
C15336,"3beta,4-Dimethyl-4-aza-5alpha-cholestane",C28H51N,401.4022,401.71,,,,
C15337,Allocholesterol;,C27H46O,386.3549,386.65,,,,
C15338,"11beta,17beta-Dihydroxy-9alpha-fluoro-17alpha-methyl-5alpha-androstan-3-one",C20H31FO3,338.2257,338.46,,,,
C15339,"17alpha,2alpha-Dimethyl-17beta-hydroxy-4-androsten-3-one;",C21H32O2,316.2402,316.48,,,,
C15340,"20,21,21-Trifluoro-3-methoxy-19-nor-17alpha-pregna-1,3,5(10),20-tetraen-17-ol;",C21H25F3O2,366.1807,366.42,,,,
C15341,Fluorofelbamate,C11H13FN2O4,256.0859,256.23,map07033  Anticonvulsants,,,
C15342,"17beta-Hydroxy-2alpha,17-dimethyl-4,9(11)-androstadien-3-one;",C21H30O2,314.2246,314.46,,,,
C15343,HR1917;,C26H23N7O4. 2HCl,569.1345,570.42,,,,
C15344,"N-Butyl-1H-pyrazolo[3,4-d]pyrimidin-4-amine;",C9H13N5,191.1171,191.23,,,,
C15345,3beta-[(Tetrahydro-2H-pyran-2-yl)oxy]androst-5-en-17beta-ol;,C24H38O3,374.2821,374.56,,,,
C15346,"5alpha-Androstane-3beta,17beta-diol diacetate;",C23H36O4,376.2614,376.53,,,,
C15347,6-(Isopropylthio)purine,C8H10N4S,194.0626,194.26,,,,
C15348,6-(Allylthio)purine,C8H8N4S,192.0470,192.24,,,,
C15349,"11beta,17beta-Dihydroxy-17-methyl-5alpha-androstan-3-one;",C20H32O3,320.2351,320.47,,,,
C15350,"Estra-1,3,5(10)-triene-3,16alpha-diol dipropionate",C24H32O4,384.2301,384.51,,,,
C15351,7alpha-Hydroxytestololactone;,C19H26O4,318.1831,318.41,,,,
C15352,6-(Dibromomethylene)-17beta-hydroxyandrost-4-en-3-one;,C20H26Br2O2,456.0300,458.23,,,,
C15353,"17alpha-Methyl-17beta-hydroxyandrosta-4,6-dien-3-one;",C20H28O2,300.2089,300.43,,,,
C15354,"17beta-Hydroxy-17-methyl-5alpha-androstane-3,11-dione",C20H30O3,318.2195,318.45,,,,
C15355,"11alpha-Hydroxy-5beta-pregnane-3,20-dione",C21H32O3,332.2351,332.48,,,,
C15356,17beta-Amino-5alpha-androstan-11beta-ol,C19H33NO,291.2562,291.47,,,,
C15357,"Cholesta-3,5-dien-7-one",C27H42O,382.3236,382.62,,,,
C15358,4-Chloro-17alpha-methyl-17beta-hydroxy-4-androsten-3-one;,C20H29ClO2,336.1856,336.89,,,,
C15359,6-(Dibromomethylene)-17beta-hydroxy-androst-4-en-3-one propionate,C23H30Br2O3,512.0562,514.29,,,,
C15360,Evadol hydrochloride;,C16H19NO3. HCl,309.1132,309.79,,,,
C15361,Descinolone;,C21H27FO5,378.1843,378.43,,,,
C15362,4-Nitroestrone;,C18H21NO4,315.1471,315.36,,,,
C15363,"6beta,11alpha-Dihydroxyprogesterone;",C21H30O4,346.2144,346.46,,,,
C15364,15alpha-Hydroxyprogesterone;,C21H30O3,330.2195,330.46,,,,
C15365,"4-Pregnene-16alpha,21-diol-3,20-dione;",C21H30O4,346.2144,346.46,,,,
C15366,Estrone 16-oxime;,C18H21NO3,299.1521,299.36,,,,
C15367,3beta-Methoxyandrost-5-en-16beta-ol,C20H32O2,304.2402,304.47,,,,
C15368,"5beta-Pregnane-3alpha,17alpha,20alpha-triol-11-one;",C21H34O4,350.2457,350.49,,,,
C15369,"9alpha-Fluoro-11beta-hydroxy-2alpha-methyl-4-pregnene-3,20-dione;",C22H31FO3,362.2257,362.48,,,,
C15370,"Androsta-5,16-dieno[17,16-b]quinolin-3beta-ol;",C26H31NO,373.2406,373.53,,,,
C15371,"9-Bromo-17beta-hydroxy-17-methylandrost-4-ene-3,11-dione",C20H27BrO3,394.1144,395.33,,,,
C15372,"11alpha,17beta-Dihydroxyandrost-4-en-3-one diacetate;",C23H32O5,388.2250,388.50,,,,
C15373,5alpha-Androstan-17beta-ol propionate,C22H36O2,332.2715,332.52,,,,
C15374,17beta-Hydroxy-7alpha-methylandrost-4-en-3-one propionate;,C23H34O3,358.2508,358.51,,,,
C15375,Apocholic acid;,C24H38O4,390.2770,390.56,,,,
C15376,"17alpha-Methyl-5alpha-androstane-3alpha,17beta-diol",C20H34O2,306.2559,306.48,,,,
C15377,1-Testosterone;,C19H28O2,288.2089,288.42,,,,
C15378,B-Norcholesterol;,C26H44O,372.3392,372.63,,,,
C15379,"3beta-Hydroxylanostane-7,11-dione acetate",C32H52O4,500.3866,500.75,,,,
C15380,"9-Fluoro-11beta,16alpha-dihydroxypregn-4-ene-3,20-dione",C21H29FO4,364.2050,364.45,,,,
C15381,"6alpha,9-Difluoro-11beta-hydroxypregn-4-ene-3,20-dione;",C21H28F2O3,366.2007,366.44,,,,
C15382,"Estra-1,3,5(10)-triene-3,6alpha,17beta-triol triacetate",C24H30O6,414.2042,414.49,,,,
C15383,"(5-Phenyl-1,2,4-triazol-3-yl)urea;",C9H9N5O,203.0807,203.20,,,,
C15384,"12alpha-Hydroxy-5beta-pregnane-3,20-dione",C21H32O3,332.2351,332.48,,,,
C15385,"D-Homo-A-nor-17a-oxaandrost-3(5)-ene-2,17-dione;",C18H24O3,288.1725,288.38,,,,
C15386,"D-Homo-17a-oxaandrosta-4,6-diene-3,17-dione",C19H24O3,300.1725,300.39,,,,
C15387,1-Dehydro-9-fluoro-11-oxotestololactone,C19H21FO4,332.1424,332.36,,,,
C15388,"3-Methoxy-19-nor-17alpha-pregna-1,3,5(10),20-tetraen-17-ol;",C21H28O2,312.2089,312.44,,,,
C15389,"4,4'-Stilbenedicarboxamidine dihydrochloride;",C16H16N4. 2HCl,336.0909,337.24,,,,
C15390,"1alpha,5alpha-Epidithio-17a-oxa-D-homoandrostan-3,17-dione",C19H26O3S2,366.1323,366.54,,,,
C15391,"3alpha,12alpha-Dihydroxy-5beta-pregnan-20-one",C21H34O3,334.2508,334.49,,,,
C15392,"1-Chloro-4-(2,2-dichloro-1-phenylethyl)benzene;",C14H11Cl3,283.9926,285.59,,,,
C15393,2-Chlorobenzhydrol,C13H11ClO,218.0498,218.68,,,,
C15394,"2,2,2-Trifluoro-N-(6-oxo-6H-dibenzo[b,d]pyran-2-yl)acetamide;",C15H8F3NO3,307.0456,307.22,,,,
C15395,17beta-Hydroxy-4-methylestr-4-en-3-one;,C19H28O2,288.2089,288.42,,,,
C15396,3beta-Chloro-5-androsten-17beta-ol,C19H29ClO,308.1907,308.88,,,,
C15397,6-(2-Chloroallylthio)purine,C8H7ClN4S,226.0080,226.69,,,,
C15398,"10,13-Dimethyl-11-docosyne-10,13-diol",C24H46O2,366.3498,366.62,,,,
C15399,"17-Methyl-5alpha-androstane-11beta,17beta-diol",C20H34O2,306.2559,306.48,,,,
C15400,"9-Chloro-11beta,17beta-dihydroxy-17-methylandrost-4-en-3-one;",C20H29ClO3,352.1805,352.89,,,,
C15401,"11beta,17beta-Dihydroxy-4,17-dimethylandrost-4-en-3-one;",C21H32O3,332.2351,332.48,,,,
C15402,"17beta-Hydroxy-7alpha,17-dimethylandrosta-1,4-dien-3-one;",C21H30O2,314.2246,314.46,,,,
C15403,"3alpha,11beta,17alpha-Trihydroxy-5beta-pregnan-20-one;",C21H34O4,350.2457,350.49,,,,
C15404,"3beta,17-Dihydroxy-5alpha-pregnane-11,20-dione 3-acetate",C23H34O5,390.2406,390.51,,,,
C15405,17beta-Carbomethoxyandrost-5-en-3beta-ol;,C21H32O3,332.2351,332.48,,,,
C15406,"5alpha-Androst-1-ene-3,11,17-trione",C19H24O3,300.1725,300.39,,,,
C15407,"9-Chloro-17beta-hydroxy-17-methylandrost-4-ene-3,11-dione",C20H27ClO3,350.1649,350.88,,,,
C15408,2alpha-Fluoro-17beta-hydroxyandrost-4-en-3-one propionate;,C22H31FO3,362.2257,362.48,,,,
C15409,17beta-Hydroxy-A-norandrost-3(5)-en-2-one propionate,C21H30O3,330.2195,330.46,,,,
C15410,1-(o-Chlorophenyl)-1-(p-chlorophenyl)ethane;,C14H12Cl2,250.0316,251.15,,,,
C15411,beta-Chloro-alpha-phenylbenzeneethanamine hydrochloride;,C14H14ClN. HCl,267.0582,268.18,,,,
C15412,17beta-Hydroxy-4-methylandrost-4-en-3-one;,C20H30O2,302.2246,302.45,,,,
C15413,"17beta-Hydroxy-4,4,17-trimethylandrost-5-en-3-one",C22H34O2,330.2559,330.50,,,,
C15414,6alpha-Fluoro-17beta-hydroxyandrost-4-en-3-one acetate;,C21H29FO3,348.2101,348.45,,,,
C15415,1-Phenyl-5-mercaptotetrazole;,C7H6N4S,178.0313,178.22,,,,
C15416,"17beta-Hydroxy-5alpha-androstan-3,6-dione;",C19H28O3,304.2038,304.42,,,,
C15417,3beta-Hydroxy-5alpha-pregnan-20-one acetate;,C23H36O3,360.2664,360.53,,,,
C15418,5-(alpha-Phenylethyl)semioxamazide;,C10H13N3O2,207.1008,207.23,,,,
C15419,trans-2-Phenylcyclopropanecarboxylic acid,C10H10O2,162.0681,162.18,,,,
C15420,5alpha-Pregn-2-en-20-one,C21H32O,300.2453,300.48,,,,
C15421,2-Methyl-5alpha-androst-2-en-17beta-ol acetate,C22H34O2,330.2559,330.50,,,,
C15422,2alpha-Methyl-17beta-[(tetrahydro-2H-pyran-2-yl)oxy]-5alpha-androstan-3-one,C25H40O3,388.2977,388.58,,,,
C15423,"Androst-4-ene-3alpha,17beta-diol diacetate;",C23H34O4,374.2457,374.51,,,,
C15424,"Estra-1,3,5(10)-triene-3,17beta-diol 3-phosphate;",C18H25O5P,352.1440,352.36,,,,
C15425,"21-Hydroxypregn-4-ene-3,20-dione hydrogen succinate;",C25H34O6,430.2355,430.53,,,,
C15426,"2,5-Bis[(iodomercuri)methyl]-p-dioxane",C6H10Hg2I2O2,771.8183,769.14,,,,
C15427,"2-Amino-1,2-bis(p-chlorophenyl)ethanol",C14H13Cl2NO,281.0374,282.16,,,,
C15428,Asiaticoside;,C48H78O19,958.5137,959.12,,,,
C15429,"17,21-Dihydroxypregn-4-ene-3,11,20-trione 21-(hydrogensuccinate);",C25H32O8,460.2097,460.52,,,,
C15430,"3-Hydroxyestra-1,3,5(10)-trien-17-one O-(carboxymethyl)oxime;",C20H25NO4,343.1784,343.42,,,,
C15431,17-Ethynyl-5alpha-androstan-17beta-ol;,C21H32O,300.2453,300.48,,,,
C15432,Flurogestone acetate;,C23H31FO5,406.2156,406.49,,,,
C15433,"1-(6-Oxo-6H-dibenzo[b,d]pyran-3-yl)-1H-pyrrole-2,5-dione",C17H9NO4,291.0532,291.26,,,,
C15434,"11beta,17beta-Dihydroxy-12alpha-methylandrost-4-en-3-one;",C20H30O3,318.2195,318.45,,,,
C15435,Fenbutatin oxide;,C60H78OSn2,1054.4097,1052.68,,,,
C15436,Didecyldimethylammonium chloride;,C22H48N. Cl,361.3475,362.07,,,,
C15437,"1,3,5-Triphenylcyclohexane",C24H24,312.1878,312.45,,,,
C15438,Bis(2-butoxyethyl)phthalate;,C20H30O6,366.2042,366.45,,,,
C15439,2-Methacryloyloxyethyl phenyl phosphate;,C12H15O6P,286.0606,286.22,,,,
C15440,"Estra-1,3,5(10)-triene-3,6beta,17beta-triol triacetate",C24H30O6,414.2042,414.49,,,,
C15441,Cholesteryl linoleate;,C45H76O2,648.5845,649.08,,,,
C15442,"5-Androstene-3beta,16beta-diol",C19H30O2,290.2246,290.44,,,,
C15443,"3-(Allyloxy)estra-1,3,5(10)-triene-16beta,17beta-diol;",C21H28O3,328.2038,328.44,,,,
C15444,"11beta,17beta-Dihydroxy-9alpha-fluoro-17alpha-methyl-5beta-androstan-3-one",C20H31FO3,338.2257,338.46,,,,
C15445,"1'H-5alpha-Cholest-2-eno[3,2-b]indole",C33H49N,459.3865,459.75,,,,
C15446,6beta-Fluoro-17beta-hydroxyandrost-4-en-3-one propionate;,C22H31FO3,362.2257,362.48,,,,
C15447,16alpha-Fluoro-17beta-hydroxyandrost-4-en-3-one propionate;,C22H31FO3,362.2257,362.48,,,,
C15448,Urethane dimethacrylate;,C22H34N2O8(R1)(R2),,,,,,
C15449,"trans-1,2-Diphenylcyclobutane",C16H16,208.1252,208.30,,,,
C15450,S 1033;,C20H33O4. Na,360.2277,360.46,map07035  Prostaglandins,,,
C15451,Hinokitiol glucoside;,C16H22O7,326.1366,326.34,,,,
C15452,"4,4'-Diaminostilbene dihydrochloride",C14H14N2. 2HCl,282.0691,283.19,,,,
C15453,Doisynoestrol;,C19H22O3,298.1569,298.38,,,,
C15454,Hexestrol monomethyl ether;,C19H24O2,284.1776,284.39,,,,
C15455,Sodium molybdate;,Na2MoO4,207.8646,205.93,,,,
C15456,"11beta,13-Dihydroxy-3-oxo-13,17-secoandrosta-1,4-dien-17-oic acid, delta-lactone",C19H24O4,316.1675,316.39,,,,
C15457,trans-2-(4-Methoxyphenyl)-3-(4-nitrophenyl)oxirane;,C15H13NO4,271.0845,271.27,,,,
C15458,"(alphaS,betaS)-alpha-Ethyl-alpha-(4-methoxyphenyl)-beta-phenyl-2-pyridineethanol",C22H23NO2,333.1729,333.42,,,,
